2009/06/09 14:02:55 -0700 885 | 1244581375 | 34296 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 14:02:55 -0700 888 | 1244581375 | 34296 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 14:02:55 -0700 890 | 1244581375 | 34296 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 14:03:06 -0700 032 | 1244581386 | 69335 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 14:03:06 -0700 037 | 1244581386 | 69335 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 14:03:06 -0700 043 | 1244581386 | 69335 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 14:06:08 -0700 620 | 1244581568 | 23602 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2009/06/09 14:06:08 -0700 677 | 1244581568 | 23602 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2009/06/09 14:06:55 -0700 418 | 1244581615 | 71983 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 14:06:55 -0700 419 | 1244581615 | 71983 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 14:06:55 -0700 421 | 1244581615 | 71983 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 14:08:46 -0700 453 | 1244581726 | 71968 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 14:08:46 -0700 454 | 1244581726 | 71968 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 14:08:46 -0700 466 | 1244581726 | 71968 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 14:17:35 -0700 392 | 1244582255 | 38359 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2009/06/09 15:20:12 -0700 696 | 1244586012 | 45045 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2009/06/09 15:46:17 -0700 958 | 1244587577 | 24765 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 15:46:17 -0700 978 | 1244587577 | 24765 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 15:46:17 -0700 981 | 1244587577 | 24765 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 15:51:18 -0700 580 | 1244587878 | 1148 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 15:51:18 -0700 582 | 1244587878 | 1148 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 15:51:18 -0700 585 | 1244587878 | 1148 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 15:55:29 -0700 296 | 1244588129 | 68888 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 15:55:29 -0700 298 | 1244588129 | 68888 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 15:55:29 -0700 299 | 1244588129 | 68888 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 16:07:44 -0700 152 | 1244588864 | 31283 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 16:07:44 -0700 154 | 1244588864 | 31283 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 16:07:44 -0700 156 | 1244588864 | 31283 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 16:25:33 -0700 652 | 1244589933 | 33673 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2009/06/09 16:28:50 -0700 568 | 1244590130 | 78448 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 16:28:50 -0700 569 | 1244590130 | 78448 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 16:28:50 -0700 572 | 1244590130 | 78448 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 16:30:58 -0700 008 | 1244590258 | 11631 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 16:30:58 -0700 010 | 1244590258 | 11631 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 16:30:58 -0700 012 | 1244590258 | 11631 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 16:32:18 -0700 074 | 1244590338 | 9649 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 16:32:18 -0700 074 | 1244590338 | 9649 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 16:32:18 -0700 077 | 1244590338 | 9649 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 16:34:57 -0700 689 | 1244590497 | 80107 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2009/06/09 16:44:28 -0700 166 | 1244591068 | 82393 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 16:44:28 -0700 168 | 1244591068 | 82393 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 16:44:28 -0700 170 | 1244591068 | 82393 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
